>Contig1138	locus1138
>Contig1139	locus1139
>Contig1140	locus1140
>Contig1141	locus1141
>Contig1142	locus1142
>Contig1143	locus1143
>Contig1144	locus1144
>Contig1145	locus1145
>Contig1146	locus1146
>Contig1147	locus1147
>Contig1148	locus1148
>Contig1149	locus1149
>Contig1150	locus1150
>Contig1151	locus1151
>Contig1152	locus1152
>Contig1153	locus1153
>Contig1154	locus1154
>Contig1155	locus1155
>Contig1156	locus1156
>Contig1157	locus1157
>Contig1158	locus1158
>Contig1159	locus1159
>Contig1160	locus1160
>Contig1161	locus1161
>Contig1162	locus1162
>Contig1163	locus1163
>Contig1164	locus1164
>Contig1165	locus1165
>Contig1166	locus1166
>Contig1167	locus1167
>Contig1168	locus1168
>Contig1169	locus1169
>Contig1170	locus1170
>Contig1171	locus1171
>Contig1172	locus1172
>Contig1173	locus1173
>Contig1174	locus1174
>Contig1175	locus1175
>Contig1176	locus1176
>Contig1177	locus1177
>Contig1178	locus1178
>Contig1179	locus1179
>Contig1180	locus1180
>Contig1181	locus1181
>Contig1182	locus1182
>Contig1183	locus1183
>Contig1184	locus1184
>Contig1185	locus1185
>Contig1186	locus1186
>Contig1187	locus1187
>Contig1188	locus1188
>Contig1189	locus1189
>Contig1190	locus1190
>Contig1191	locus1191
>Contig1192	locus1192
>Contig1193	locus1193
>Contig1194	locus1194
>Contig1195	locus1195
>Contig1196	locus1196
>Contig1197	locus1197
>Contig1198	locus1198
>Contig1199	locus1199
>Contig1200	locus1200
>Contig1201	locus1201
>Contig1202	locus1202
>Contig1203	locus1203
>Contig1204	locus1204
>Contig1205	locus1205
>Contig1206	locus1206
>Contig1207	locus1207
>Contig1208	locus1208
>Contig1209	locus1209
>Contig1210	locus1210
>Contig1211	locus1211
>Contig1212	locus1212
>Contig1213	locus1213
>Contig1214	locus1214
>Contig1215	locus1215
>Contig1216	locus1216
>Contig1217	locus1217
>Contig1218	locus1218
>Contig1219	locus1219
>Contig1220	locus1220
>Contig1221	locus1221
>Contig1222	locus1222
>Contig1223	locus1223
>Contig1224	locus1224
>Contig1225	locus1225
>Contig1226	locus1226
>Contig1227	locus1227
>Contig1228	locus1228
>Contig1229	locus1229
>Contig1230	locus1230
>Contig1231	locus1231
>Contig1232	locus1232
>Contig1233	locus1233
>Contig1234	locus1234
>Contig1235	locus1235
>Contig1236	locus1236
>Contig1237	locus1237
>Contig1238	locus1238
>Contig1239	locus1239
>Contig1240	locus1240
>Contig1241	locus1241
>Contig1242	locus1242
>Contig1243	locus1243
>Contig1244	locus1244
>Contig1245	locus1245
>Contig1246	locus1246
>Contig1247	locus1247
>Contig1248	locus1248
>Contig1249	locus1249
>Contig1250	locus1250
>Contig1251	locus1251
>Contig1252	locus1252
>Contig1253	locus1253
>Contig1254	locus1254
>Contig1255	locus1255
>Contig1256	locus1256
>Contig1257	locus1257
>Contig1258	locus1258
>Contig1259	locus1259
>Contig1260	locus1260
>Contig1261	locus1261
>Contig1262	locus1262
>Contig1263	locus1263
>Contig1264	locus1264
>Contig1265	locus1265
>Contig1266	locus1266
>Contig1267	locus1267
>Contig1268	locus1268
>Contig1269	locus1269
>Contig1270	locus1270
>Contig1271	locus1271
>Contig1272	locus1272
>Contig1273	locus1273
>Contig1274	locus1274
>Contig1275	locus1275
>Contig1276	locus1276
>Contig1277	locus1277
>Contig1278	locus1278
>Contig1279	locus1279
>Contig1280	locus1280
>Contig1281	locus1281
>Contig1282	locus1282
>Contig1283	locus1283
>Contig1284	locus1284
>Contig1285	locus1285
>Contig1286	locus1286
>Contig1287	locus1287
>Contig1288	locus1288
>Contig1289	locus1289
>Contig1290	locus1290
>Contig1291	locus1291
